Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,Qualifier #4,2024-10-18T10:43:54-04:00,6,44,-38,-0.76,L,blue,red,4148Z,70291C,75503H,16756B
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,Qualifier #9,2024-10-18T11:10:47-04:00,17,8,9,0.36,W,blue,blue,75503R,75503Y,32410D,16756B
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,Qualifier #17,2024-10-18T11:42:09-04:00,19,29,-10,-0.20833333333333334,L,red,blue,16756B,70291A,70291B,3350C
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,Qualifier #31,2024-10-18T12:36:37-04:00,0,14,-14,-1.0,L,red,blue,16756B,76058A,76058B,3350B
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,Qualifier #35,2024-10-18T12:50:21-04:00,37,5,32,0.7619047619047619,W,red,red,16756B,1585Z,76058D,16756C
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,Qualifier #48,2024-10-18T14:44:52-04:00,14,0,14,1.0,W,blue,blue,41776A,32410E,3350A,16756B
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,Qualifier #55,2024-10-18T15:14:33-04:00,16,14,2,0.06666666666666667,W,blue,blue,2750T,1585X,16756B,76058C
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,R16 #3-1,2024-10-18T16:08:49-04:00,17,0,17,1.0,W,red,red,3350A,16756B,41776A,41776B
Miller Grove Spooktacular Bots Blended Tournament: Miller Grove Blended Tournament,Other,None,QF #2-1,2024-10-18T16:39:55-04:00,10,13,-3,-0.13043478260869565,L,red,blue,3350A,16756B,76058B,16756A
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,Qualifier #4,2024-11-15T11:04:16-05:00,19,4,15,0.6521739130434783,W,blue,blue,2750B,9950V,87490A,16756B
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,Qualifier #13,2024-11-15T11:52:50-05:00,9,16,-7,-0.28,L,red,blue,16756B,9950W,20480Y,42786B
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,Qualifier #19,2024-11-15T12:21:55-05:00,16,21,-5,-0.13513513513513514,L,blue,red,597C,4148A,16756B,20480S
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,Qualifier #26,2024-11-15T12:51:51-05:00,15,0,15,1.0,W,red,red,16756C,16756B,75861C,42786A
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,Qualifier #32,2024-11-15T13:56:10-05:00,17,0,17,1.0,W,red,red,2750Y,16756B,75861B,62714C
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,Qualifier #46,2024-11-15T14:49:19-05:00,4,27,-23,-0.7419354838709677,L,blue,red,16756A,9950T,62714B,16756B
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,Qualifier #53,2024-11-15T15:12:42-05:00,22,3,19,0.76,W,blue,blue,62714A,1585A,16756B,597A
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,R16 #3-1,2024-11-15T16:09:55-05:00,22,0,22,1.0,W,red,red,2750Y,16756B,9950W,75861B
Miller Grove Harvest Bots High School Tournament: Miller Grove Blended Tournament,Other,Event Region Championship,QF #2-1,2024-11-15T16:31:53-05:00,17,16,1,0.030303030303030304,W,red,red,2750Y,16756B,20480Y,1585X
