Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #5,2024-08-03T11:41:26-04:00,0,14,-14,-1.0,L,red,blue,39K,3333W,39G,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #11,2024-08-03T12:09:26-04:00,3,3,0,0.0,D,red,Tie,3333W,94T,3333D,39T
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #14,2024-08-03T12:33:13-04:00,43,4,39,0.8297872340425532,W,blue,blue,94S,2849B,3333W,7760X
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #22,2024-08-03T14:06:16-04:00,6,12,-6,-0.3333333333333333,L,red,blue,38D,3333W,94Y,3333T
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #27,2024-08-03T14:28:25-04:00,12,18,-6,-0.2,L,blue,red,38Z,38K,3333W,39X
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #36,2024-08-03T15:17:00-04:00,17,9,8,0.3076923076923077,W,red,red,94M,3333W,3547K,8626K
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,R16 #2-1,2024-08-03T16:07:29-04:00,6,6,0,0.0,D,red,Tie,3333Y,3333W,94Y,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,R16 #2-2,2024-08-03T16:32:46-04:00,6,6,0,0.0,D,red,Tie,3333Y,3333W,94Y,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,R16 #2-3,2024-08-03T16:56:01-04:00,6,9,-3,-0.2,L,red,blue,3333Y,3333W,94Y,94Z
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #3,2024-10-03T17:29:00-04:00,21,23,-2,-0.045454545454545456,L,blue,red,23533A,98725B,38D,3333W
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #8,2024-10-03T18:17:54-04:00,9,16,-7,-0.28,L,blue,red,38Z,3333T,3333W,38053G
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #10,2024-10-03T18:30:18-04:00,15,4,11,0.5789473684210527,W,red,red,3333W,38053G,81282C,3333M
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #14,2024-10-03T19:00:16-04:00,15,13,2,0.07142857142857142,W,red,red,3333W,3333Z,3333A,3333N
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #2,2024-11-07T17:29:30-05:00,20,5,15,0.6,W,blue,blue,38053F,23533A,38053B,3333W
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #9,2024-11-07T18:16:13-05:00,15,6,9,0.42857142857142855,W,red,red,50480B,3333W,3333S,38053H
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #18,2024-11-07T19:14:00-05:00,11,16,-5,-0.18518518518518517,L,red,blue,3333W,3333M,7760X,50480D
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #20,2024-11-07T19:27:31-05:00,10,29,-19,-0.48717948717948717,L,blue,red,98725B,38053X,3333W,50480A
Kettering University High Stakes Tournament #2: Blended VEX V5 Robotics Competition MS/HS Region 3 (No Judging),Other,None,Qualifier #6,2024-11-09T09:43:51-05:00,18,4,14,0.6363636363636364,W,blue,blue,39X,6567F,12019B,3333W
Kettering University High Stakes Tournament #2: Blended VEX V5 Robotics Competition MS/HS Region 3 (No Judging),Other,None,Qualifier #14,2024-11-09T10:21:38-05:00,9,15,-6,-0.25,L,red,blue,3333M,3333W,38Z,99512B
Kettering University High Stakes Tournament #2: Blended VEX V5 Robotics Competition MS/HS Region 3 (No Judging),Other,None,Qualifier #26,2024-11-09T12:19:53-05:00,16,7,9,0.391304347826087,W,red,red,48657B,3333W,16610C,99512C
Kettering University High Stakes Tournament #2: Blended VEX V5 Robotics Competition MS/HS Region 3 (No Judging),Other,None,Qualifier #35,2024-11-09T12:57:14-05:00,20,0,20,1.0,W,blue,blue,22305A,50480D,3333W,39E
Kettering University High Stakes Tournament #2: Blended VEX V5 Robotics Competition MS/HS Region 3 (No Judging),Other,None,Qualifier #41,2024-11-09T13:23:27-05:00,16,34,-18,-0.36,L,red,blue,3333W,39G,38K,13697H
Kettering University High Stakes Tournament #2: Blended VEX V5 Robotics Competition MS/HS Region 3 (No Judging),Other,None,Qualifier #50,2024-11-09T14:05:25-05:00,5,42,-37,-0.7872340425531915,L,red,blue,99512D,3333W,39Z,39T
Kettering University High Stakes Tournament #2: Blended VEX V5 Robotics Competition MS/HS Region 3 (No Judging),Other,None,R16 #6-1,2024-11-09T15:43:16-05:00,6,17,-11,-0.4782608695652174,L,red,blue,99512A,3333W,8341B,39W
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #8,2024-12-07T10:12:50-05:00,23,15,8,0.21052631578947367,W,blue,blue,3333S,23533A,3333W,3333D
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,Qualifier #18,2024-12-07T11:18:12-05:00,23,21,2,0.045454545454545456,W,red,red,3333W,38Z,98725B,38053X
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,R16 #6-1,2024-12-07T13:53:10-05:00,31,9,22,0.55,W,red,red,3333Y,3333W,3333Z,23533A
Easy League - High Stakes: Blended VEX V5 Robotics Competition HS/MS Region 3 Qualifier,Other,Event Region Championship,QF #3-1,2024-12-07T14:29:35-05:00,18,27,-9,-0.2,L,blue,red,38053G,3333T,3333Y,3333W
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #16,2025-01-24T13:19:25-05:00,36,16,20,0.38461538461538464,W,blue,blue,77038J,91142B,6842V,3333W
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #29,2025-01-24T14:02:32-05:00,15,47,-32,-0.5161290322580645,L,red,blue,3333W,9257Z,45434R,9185V
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #63,2025-01-24T15:52:10-05:00,35,38,-3,-0.0410958904109589,L,blue,red,2654E,11254W,3333W,99904W
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #78,2025-01-24T16:41:30-05:00,24,35,-11,-0.1864406779661017,L,red,blue,3333W,44691X,45434Y,20080X
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #106,2025-01-25T08:39:08-05:00,29,18,11,0.23404255319148937,W,blue,blue,33188A,39T,3333W,99904C
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #118,2025-01-25T09:20:07-05:00,29,33,-4,-0.06451612903225806,L,red,blue,3333W,1082S,6210T,334U
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #140,2025-01-25T10:33:57-05:00,13,38,-25,-0.49019607843137253,L,blue,red,197B,8823U,3333W,91915B
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #158,2025-01-25T11:32:46-05:00,37,28,9,0.13846153846153847,W,red,red,3333W,9257C,39H,99751E
Pre State Invitational Scrimmage #2: For teams already qualified for States,Other,None,Qualifier #1,2025-01-30T17:35:16-05:00,22,17,5,0.1282051282051282,W,red,red,3333N,3333W,38D,3333S
Pre State Invitational Scrimmage #2: For teams already qualified for States,Other,None,Qualifier #4,2025-01-30T17:57:14-05:00,41,17,24,0.41379310344827586,W,blue,blue,1829A,39T,3333W,3333N
Pre State Invitational Scrimmage #2: For teams already qualified for States,Other,None,Qualifier #6,2025-01-30T18:10:22-05:00,32,3,29,0.8285714285714286,W,blue,blue,3333X,3333Y,39K,3333W
Pre State Invitational Scrimmage #2: For teams already qualified for States,Other,None,Qualifier #9,2025-01-30T18:30:20-05:00,37,15,22,0.4230769230769231,W,red,red,98725B,3333W,3333X,1829A
