Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #3,2024-10-26T11:43:07-04:00,0,36,-36,-1.0,L,red,blue,97155H,4378A,79912C,8787X
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #5,2024-10-26T11:55:07-04:00,0,33,-33,-1.0,L,blue,red,79912D,87217A,4378A,87217N
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #8,2024-10-26T12:32:04-04:00,10,8,2,0.1111111111111111,W,red,red,4378A,97155H,4378X,8787X
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #10,2024-10-26T12:41:17-04:00,17,3,14,0.7,W,blue,blue,97155F,45009S,4378A,87217A
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #12,2024-10-26T12:56:20-04:00,6,15,-9,-0.42857142857142855,L,red,blue,45009S,4378A,79912D,8787X
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #14,2024-10-26T13:15:39-04:00,9,43,-34,-0.6538461538461539,L,blue,red,79912C,97155F,4378A,45009S
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #17,2024-10-26T13:39:29-04:00,17,7,10,0.4166666666666667,W,red,red,4378X,4378A,97155F,87217N
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Qualifier #20,2024-10-26T14:00:51-04:00,25,26,-1,-0.0196078431372549,L,red,blue,79912D,4378A,4378X,79912C
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,SF #2-1,2024-10-26T15:46:31-04:00,17,5,12,0.5454545454545454,W,red,red,97155H,4378A,97155F,4378X
Riverside High School Blended Tournament: Middle and High School V5RC Event,Other,None,Final #1-1,2024-10-26T16:08:01-04:00,7,18,-11,-0.44,L,blue,red,79912C,79912D,97155H,4378A
JM Hanks HS - High Stakes VEX V5 Robotics Competition: Blended MS & HS V5RC,Other,None,Qualifier #7,2024-11-02T11:15:00-04:00,0,0,0,-1,D,red,Tie,79912C,4378A,79912B,6127A
JM Hanks HS - High Stakes VEX V5 Robotics Competition: Blended MS & HS V5RC,Other,None,Qualifier #4,2024-11-02T11:44:54-04:00,0,0,0,-1,D,blue,Tie,97155G,6127C,4378X,4378A
JM Hanks HS - High Stakes VEX V5 Robotics Competition: Blended MS & HS V5RC,Other,None,Qualifier #13,2024-11-02T11:45:00-04:00,0,0,0,-1,D,blue,Tie,97155H,6127B,18020A,4378A
JM Hanks HS - High Stakes VEX V5 Robotics Competition: Blended MS & HS V5RC,Other,None,Qualifier #20,2024-11-02T12:20:00-04:00,0,0,0,-1,D,red,Tie,4378A,99499A,6127B,76976T
JM Hanks HS - High Stakes VEX V5 Robotics Competition: Blended MS & HS V5RC,Other,None,Qualifier #22,2024-11-02T12:30:00-04:00,0,0,0,-1,D,blue,Tie,5912A,76976S,4378A,79912D
JM Hanks HS - High Stakes VEX V5 Robotics Competition: Blended MS & HS V5RC,Other,None,Qualifier #26,2024-11-02T12:50:00-04:00,0,0,0,-1,D,red,Tie,4378A,79912A,72203B,4378X
Franklin HS Texas Region 1 VRC High Stakes Tournament 2: High School V5RC,Other,None,Qualifier #4,2024-11-09T12:02:08-05:00,5,12,-7,-0.4117647058823529,L,blue,red,3269A,72203A,79912B,4378A
Franklin HS Texas Region 1 VRC High Stakes Tournament 2: High School V5RC,Other,None,Qualifier #7,2024-11-09T12:18:52-05:00,10,22,-12,-0.375,L,red,blue,4378A,36147A,40217A,3269A
Franklin HS Texas Region 1 VRC High Stakes Tournament 2: High School V5RC,Other,None,Qualifier #10,2024-11-09T12:38:29-05:00,5,10,-5,-0.3333333333333333,L,red,blue,99499B,4378A,5912A,99499A
Franklin HS Texas Region 1 VRC High Stakes Tournament 2: High School V5RC,Other,None,Qualifier #15,2024-11-09T13:01:28-05:00,10,39,-29,-0.5918367346938775,L,blue,red,5912A,79912C,4378A,36147A
