Event Name,Event Type,Title,Qualifications
Stake Your Claim at Fayetteville HS Only: High School,Other,Innovate Award (VRC/VEXU/VAIRC),
NWA High Stakes Clash (HS): VEX V5 Robotics Competition,Other,Design Award (VRC/VEXU/VAIRC),Event Region Championship
Arkansas 2024-2025 State High School Championship: VEX V5 Robotics Competition,Regional,Innovate Award (VRC/VEXU/VAIRC),World Championship
