Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #1,2024-11-16T13:19:06-05:00,16,3,13,0.6842105263157895,W,red,red,6109C,8047F,8630A,8630B
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #3,2024-11-16T13:52:20-05:00,7,3,4,0.4,W,blue,blue,8630B,59162A,1674A,8047F
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #5,2024-11-16T14:17:55-05:00,25,15,10,0.25,W,red,red,8630B,8047F,6109C,59162A
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #6,2024-11-16T14:40:09-05:00,25,5,20,0.6666666666666666,W,blue,blue,1674A,8630A,8630B,8047F
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #7,2024-11-16T14:53:25-05:00,14,12,2,0.07692307692307693,W,blue,blue,6109C,59162A,1674A,8047F
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #9,2024-11-16T16:36:31-05:00,23,3,20,0.7692307692307693,W,red,red,8047F,1674A,8630A,8630B
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #11,2024-11-16T16:59:21-05:00,29,13,16,0.38095238095238093,W,red,red,1674A,8047F,6109C,8630B
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #12,2024-11-16T17:08:21-05:00,21,12,9,0.2727272727272727,W,blue,blue,8630A,59162A,1674A,8047F
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #13,2024-11-16T17:17:48-05:00,36,4,32,0.8,W,blue,blue,8630B,1674A,6109C,8047F
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #14,2024-11-16T17:30:30-05:00,9,9,0,0.0,D,red,Tie,8630A,8047F,59162A,6109C
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #16,2024-11-16T17:49:52-05:00,17,16,1,0.030303030303030304,W,blue,blue,6109C,59162A,8047F,8630B
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #18,2024-11-16T18:22:48-05:00,22,7,15,0.5172413793103449,W,red,red,8047F,1674A,8630A,59162A
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Qualifier #20,2024-11-16T18:42:04-05:00,20,4,16,0.6666666666666666,W,red,red,8047F,8630A,1674A,6109C
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Final #1-1,2024-11-16T19:24:36-05:00,35,6,29,0.7073170731707317,W,red,red,8047F,6109C,1674A,59162A
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,None,Final #1-2,2024-11-16T19:37:29-05:00,27,6,21,0.6363636363636364,W,red,red,8047F,6109C,1674A,59162A
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Qualifier #2,2024-12-03T18:17:58-05:00,42,10,32,0.6153846153846154,W,red,red,57709N,8047F,57709E,81422C
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Qualifier #10,2024-12-03T19:48:06-05:00,43,7,36,0.72,W,red,red,9727B,8047F,1860B,65286A
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Qualifier #15,2024-12-03T20:30:14-05:00,8,7,1,0.06666666666666667,W,blue,blue,76596X,57709G,8047F,57709J
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Qualifier #19,2024-12-03T21:18:15-05:00,18,0,18,1.0,W,blue,blue,57709A,97673W,8047F,13118A
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Qualifier #24,2024-12-04T10:31:49-05:00,14,17,-3,-0.0967741935483871,L,red,blue,8047F,81422A,97673W,34857A
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Qualifier #34,2024-12-04T12:35:49-05:00,24,7,17,0.5483870967741935,W,blue,blue,1674A,57709C,99153U,8047F
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Qualifier #39,2024-12-04T13:17:15-05:00,45,20,25,0.38461538461538464,W,red,red,8047F,2144A,99153A,99153Z
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,SF #1-1,2024-12-04T19:14:30-05:00,43,13,30,0.5357142857142857,W,red,red,8047F,2144A,97673Y,57709C
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,World Championship,Final #1-1,2024-12-04T21:46:33-05:00,33,12,21,0.4666666666666667,W,red,red,8047F,2144A,99153Z,81422C
Campeonato Regional de Occidente,Other,None,Qualifier #1,2025-01-18T14:31:02-05:00,45,0,45,1.0,W,blue,blue,36298B,79119A,32861A,8047F
Campeonato Regional de Occidente,Other,None,Qualifier #2,2025-01-18T14:43:39-05:00,3,29,-26,-0.8125,L,blue,red,77353A,3774M,36298A,8047F
Campeonato Regional de Occidente,Other,None,Qualifier #4,2025-01-18T15:09:18-05:00,41,11,30,0.5769230769230769,W,red,red,8047F,36298A,3774M,36298B
Campeonato Regional de Occidente,Other,None,Qualifier #7,2025-01-18T15:43:18-05:00,25,0,25,1.0,W,red,red,32861A,8047F,79119A,36298A
Campeonato Regional de Occidente,Other,None,Qualifier #9,2025-01-18T16:33:23-05:00,21,4,17,0.68,W,red,red,77353A,8047F,32861A,3774M
Campeonato Regional de Occidente,Other,None,Qualifier #10,2025-01-18T16:46:20-05:00,14,4,10,0.5555555555555556,W,blue,blue,36298B,79119A,8047F,77353A
Campeonato Regional de Occidente,Other,None,Qualifier #13,2025-01-18T17:23:12-05:00,27,27,0,0.0,D,red,Tie,8047F,36298B,32861A,3774M
Campeonato Regional de Occidente,Other,None,Qualifier #14,2025-01-18T18:45:17-05:00,24,16,8,0.2,W,red,red,79119A,8047F,36298A,77353A
Campeonato Regional de Occidente,Other,None,Final #1-1,2025-01-18T19:49:28-05:00,32,18,14,0.28,W,red,red,8047F,36298A,3774M,77353A
Mecha Mayhem 2025 Signature Event Presented by Alberta Innovates: High School Division,Signature,None,Qualifier #6,2025-02-08T10:49:43-05:00,27,18,9,0.2,W,red,red,8047F,9409X,3300C,99197B
