Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,Qualifier #2,2024-11-02T11:20:48-04:00,7,7,0,0.0,D,red,Tie,82953A,18031A,37334K,37334A
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,Qualifier #13,2024-11-02T12:06:30-04:00,8,32,-24,-0.6,L,red,blue,18031A,97934H,97934U,96504G
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,Qualifier #19,2024-11-02T12:35:36-04:00,7,22,-15,-0.5172413793103449,L,blue,red,37334F,96504P,37334M,18031A
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,Qualifier #25,2024-11-02T13:06:18-04:00,26,29,-3,-0.05454545454545454,L,blue,red,57249A,37215A,37215B,18031A
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,Qualifier #41,2024-11-02T15:19:41-04:00,33,6,27,0.6923076923076923,W,red,red,20025G,18031A,96504B,37334B
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,Qualifier #47,2024-11-02T15:44:30-04:00,13,27,-14,-0.35,L,red,blue,18031A,5999A,96504D,5999C
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,Qualifier #56,2024-11-02T16:25:39-04:00,6,12,-6,-0.3333333333333333,L,blue,red,5999G,96504V,18031A,96504T
2024 BHS Lonely Souls Tournament (MS/HS): VEX V5 Robotics Competition,Other,None,R16 #3-1,2024-11-02T17:33:04-04:00,0,37,-37,-1.0,L,blue,red,97934U,57249C,37215A,18031A
AEROpalooza VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #2,2025-01-25T11:22:17-05:00,24,22,2,0.043478260869565216,W,blue,blue,90601E,35016W,22345A,18031A
AEROpalooza VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #10,2025-01-25T12:28:59-05:00,0,44,-44,-1.0,L,red,blue,37334B,18031A,8448X,90601A
AEROpalooza VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #18,2025-01-25T13:28:15-05:00,28,40,-12,-0.17647058823529413,L,blue,red,37334F,35016Z,37334G,18031A
AEROpalooza VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #21,2025-01-25T13:52:31-05:00,25,38,-13,-0.20634920634920634,L,red,blue,18031A,9848W,31218W,37334A
