Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,Qualifier #3,2024-10-19T11:24:44-04:00,0,44,-44,-1.0,L,red,blue,36830B,11114A,81218G,36830D
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,Qualifier #16,2024-10-19T12:15:34-04:00,20,4,16,0.6666666666666666,W,blue,blue,13907A,97435C,36830B,36867C
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,Qualifier #21,2024-10-19T12:30:51-04:00,22,12,10,0.29411764705882354,W,red,red,8448G,36830B,47969X,35550A
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,Qualifier #37,2024-10-19T14:23:12-04:00,6,25,-19,-0.6129032258064516,L,blue,red,30207A,67104B,36830B,36867F
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,Qualifier #47,2024-10-19T14:53:10-04:00,4,25,-21,-0.7241379310344828,L,blue,red,36867A,643T,81218E,36830B
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,Qualifier #51,2024-10-19T15:07:07-04:00,3,39,-36,-0.8571428571428571,L,red,blue,36830B,33170A,36830C,8448X
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,R16 #4-1,2024-10-19T16:43:38-04:00,16,6,10,0.45454545454545453,W,blue,blue,36867B,36867A,36830C,36830B
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,QF #2-1,2024-10-19T17:07:42-04:00,19,12,7,0.22580645161290322,W,blue,blue,81218G,36830D,36830C,36830B
VEX V5 Robotics Competition- Spooky VEX on the Plains: High and Middle School Teams,Other,None,SF #1-1,2024-10-19T17:24:26-04:00,4,27,-23,-0.7419354838709677,L,blue,red,36867D,20605A,36830C,36830B
Phenix City's I'll Be Home For VEXmas VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #5,2024-12-07T13:46:25-05:00,16,6,10,0.45454545454545453,W,blue,blue,36830A,36867F,36830B,57225G
Phenix City's I'll Be Home For VEXmas VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #9,2024-12-07T14:02:15-05:00,28,12,16,0.4,W,red,red,36830B,643E,81218D,38241W
Phenix City's I'll Be Home For VEXmas VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #19,2024-12-07T15:10:10-05:00,27,10,17,0.4594594594594595,W,red,red,36867E,36830B,81218G,52102A
Phenix City's I'll Be Home For VEXmas VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #24,2024-12-07T15:43:41-05:00,10,11,-1,-0.047619047619047616,L,blue,red,38241X,67104B,52102C,36830B
Phenix City's I'll Be Home For VEXmas VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #31,2024-12-07T16:09:59-05:00,41,7,34,0.7083333333333334,W,blue,blue,57225A,36867C,36830B,36867B
Phenix City's I'll Be Home For VEXmas VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #37,2024-12-07T16:33:16-05:00,26,21,5,0.10638297872340426,W,red,red,36830B,36830C,36830D,31218W
Phenix City's I'll Be Home For VEXmas VEX V5 Robotics Competition: Middle and High School Teams,Other,None,QF #4-1,2024-12-07T17:54:59-05:00,10,39,-29,-0.5918367346938775,L,red,blue,36830B,36867B,36830D,36830A
Robo Rumble @ PJHS VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #5,2025-01-18T13:14:00-05:00,19,33,-14,-0.2692307692307692,L,blue,red,8448G,47742B,30207C,36830B
Robo Rumble @ PJHS VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #12,2025-01-18T13:38:30-05:00,21,11,10,0.3125,W,red,red,81218F,36830B,67104B,36116B
Robo Rumble @ PJHS VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #20,2025-01-18T14:06:30-05:00,40,0,40,1.0,W,blue,blue,57225B,82473C,36830B,81218G
Robo Rumble @ PJHS VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #30,2025-01-18T14:41:30-05:00,29,18,11,0.23404255319148937,W,red,red,36830B,91097A,36830D,19306D
Robo Rumble @ PJHS VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #43,2025-01-18T15:27:00-05:00,50,6,44,0.7857142857142857,W,red,red,36830B,36830C,57225F,13907H
Robo Rumble @ PJHS VEX V5 Robotics Competition: Middle and High School Teams,Other,None,Qualifier #51,2025-01-18T15:55:00-05:00,18,7,11,0.44,W,blue,blue,13907F,57225C,36830B,10449C
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,Qualifier #6,2025-02-02T13:34:21-05:00,20,24,-4,-0.09090909090909091,L,red,blue,36830B,36830C,36867A,30207A
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,Qualifier #8,2025-02-02T13:41:54-05:00,27,6,21,0.6363636363636364,W,red,red,36867D,36830B,52102A,36867F
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,Qualifier #12,2025-02-02T13:58:06-05:00,33,9,24,0.5714285714285714,W,blue,blue,52102B,52102C,36830B,36867C
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,Qualifier #19,2025-02-02T14:24:03-05:00,27,0,27,1.0,W,red,red,36867B,36830B,39886B,36867F
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,Qualifier #25,2025-02-02T14:53:23-05:00,28,19,9,0.19148936170212766,W,blue,blue,36830D,36830A,36830B,20605A
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,Qualifier #31,2025-02-02T15:20:24-05:00,27,22,5,0.10204081632653061,W,blue,blue,67104A,67104B,36867E,36830B
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,QF #4-1,2025-02-02T16:20:34-05:00,33,12,21,0.4666666666666667,W,red,red,36830B,36830A,52102B,36830D
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,SF #2-1,2025-02-02T16:30:23-05:00,26,18,8,0.18181818181818182,W,blue,blue,36867D,36867A,36830B,36830A
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,None,Final #1-1,2025-02-02T16:47:12-05:00,24,29,-5,-0.09433962264150944,L,blue,red,30207A,20605A,36830B,36830A
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #4,2025-02-13T16:06:58-05:00,20,19,1,0.02564102564102564,W,red,red,36867A,36830B,991E,8301C
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #29,2025-02-13T17:34:18-05:00,21,40,-19,-0.3114754098360656,L,blue,red,3131V,36830A,53494A,36830B
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #48,2025-02-13T18:56:48-05:00,23,28,-5,-0.09803921568627451,L,blue,red,35049A,967T,79267V,36830B
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #67,2025-02-13T20:14:22-05:00,21,22,-1,-0.023255813953488372,L,red,blue,2025D,36830B,3796F,36830C
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #81,2025-02-14T15:16:47-05:00,21,38,-17,-0.288135593220339,L,blue,red,22023A,8568A,36830B,79267W
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #109,2025-02-14T16:59:35-05:00,34,33,1,0.014925373134328358,W,blue,blue,5735H,20605A,4828X,36830B
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #118,2025-02-14T17:27:52-05:00,24,24,0,0.0,D,red,Tie,36830B,31617Z,550G,29760D
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,None,Qualifier #142,2025-02-14T18:45:50-05:00,34,29,5,0.07936507936507936,W,red,red,301S,36830B,8301D,3796K
Alabama VEX V5 Event Region Championship 2025: High School Teams Only,Regional,None,Qualifier #6,2025-02-16T09:48:09-05:00,17,34,-17,-0.3333333333333333,L,blue,red,643T,36867D,643E,36830B
