Event Name,Event Type,Title,Qualifications
Bears Robotics High Stakes Qualifying Tournament,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
Bears Robotics High Stakes Qualifying Tournament,Other,Robot Skills Champion (VRC/VEXU/VAIRC),Event Region Championship
Timberwolf Turmoil VEX V5 Robotics Competition,Other,Robot Skills Champion (VRC/VEXU/VAIRC),
VEX in the Valley V5RC High Stakes,Other,Robot Skills Champion (VRC/VEXU/VAIRC),Event Region Championship
9th Annual Elmira Express V5RC High Stakes,Other,Robot Skills Champion (VRC/VEXU/VAIRC),Event Region Championship
9th Annual Elmira Express V5RC High Stakes,Other,Tournament Finalists (VRC/VEXU/VAIRC),Event Region Championship
Northern NYS VEX V5RC HS/MS Blended High Stakes Championship,Regional,Tournament Champions (VRC/VEXU/VAIRC),World Championship
Northern NYS VEX V5RC HS/MS Blended High Stakes Championship,Regional,Robot Skills Champion (VRC/VEXU/VAIRC),World Championship
