Event Name,Event Type,Title,Qualifications
V5RC High Stakes @ Immokalee High School,Other,Judges Award (VRC/VEXU/VAIC/ADC/VAIRC),
Best in Southwest★FL ~ V5RC High Stakes,Other,Build Award (VRC/VEXU/VAIRC),
South Florida V5RC Regional Championship - High School Division,Regional,Innovate Award (VRC/VEXU/VAIRC),World Championship
