Event Name,Event Type,Title,Qualifications
City of Oxford CREATE VEX V5 Robotics Competition: Middle and High School Teams,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
VEX V5 Robotics Competition 2024-2025: High Stakes: Middle School/High School Teams,Other,Design Award (VRC/VEXU/VAIRC),
AEROpalooza VEX V5 Robotics Competition: Middle and High School Teams,Other,Excellence Award (VRC/VEXU/VAIRC),Event Region Championship
AEROpalooza VEX V5 Robotics Competition: Middle and High School Teams,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
Hartselle Tigers Tournament VEX V5 Robotics Competition: Middle School and High School Teams Only,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
Alabama VEX V5 Event Region Championship 2025: High School Teams Only,Regional,Innovate Award (VRC/VEXU/VAIRC),World Championship
